ID,BARANGAY,LAND COVERAGE,RHU
22,Ligaya,Brush/Shrubs,0
23,Burgos,Brush/Shrubs,0
49,Pag-Asa,NULL,0
50,San Agustin,Built Up,0
51,San Agustin,Grassland,0
58,Burgos,Built Up,0
59,Burgos,NULL,0
84,San Agustin,Annual Crop,0
85,San Agustin,Annual Crop,0
86,Batong Buhay,inland water,0
87,Batong Buhay,Annual Crop,0
88,Batong Buhay,Brush/Shrubs,0
89,Malisbong,Brush/Shrubs,0
90,Pag-Asa,Annual Crop,0
91,Pag-Asa,Annual Crop,0
92,Batong Buhay,Perennial Crop,0
93,Batong Buhay,Built Up,1
94,Pag-Asa,Built Up,0
95,Pag-Asa,Brush/Shrubs,0
96,Ligaya,NULL,0
97,Burgos,Perennial Crop,0
98,Burgos,NULL,0
100,Burgos,NULL,0
118,Malisbong,NULL,0
119,Malisbong,Annual Crop,0
120,Malisbong,Annual Crop,0
121,Ligaya,Annual Crop,0
122,Ligaya,Annual Crop,0
123,Burgos,Annual Crop,0
124,Pag-Asa,Annual Crop,0
125,Pag-Asa,Annual Crop,0
126,Batong Buhay,Annual Crop,0
127,Batong Buhay,Brush/Shrubs,0
128,Pag-Asa,Brush/Shrubs,0
129,Pag-Asa,Brush/Shrubs,0
130,Burgos,Brush/Shrubs,0
131,SanAgustin,Brush/Shrubs,0
132,San Agustin,Brush/Shrubs,0
133,San Agustin,Brush/Shubs,0
134,San Agustin,Annual Crop,0
135,San Agustin,Annual Crop,0
136,San Agustin,NULL,0
154,Burgos,Annual Crop,0
155,Burgos,Annual Crop,0
156,Burgos,Annual Crop,0
157,Ligaya,Annual Crop,0
158,Malisbong,Annual Crop,0
159,Malisbong,Annual Crop,0
160,Pag-Asa,Annual Crop,0
161,Batong Buhay,Brush/Shrubs,0
162,Malisbong,Brush/Shubs,0
163,Malisbong,Brush/Shrubs,0
164,Ligaya,Brush/Shrubs,0
165,San Agustin,Brush/Shrubs,0
166,San Agustin,Brush/Shrubs,0
167,San Agustin,Brush/Shrubs,0
168,San Agustin,Brush/Shrubs,0
169,San Agustin,Annual Crop,0
170,San Agustin,Annual Crop,0
171,San Agustin,inland water,0
188,Pag-Asa,NULL,0
189,Pag-Asa,Annual Crop,0
190,San Agustin,Built Up,0
191,Burgos,Annual Crop,0
192,Burgos,Annual Crop,0
193,Malisbong,Annual Crop,0
194,San Agustin,Annual Crop,0
195,Batong Buhay,Annual Crop,0
196,Batong Buhay,Brush/Shrubs,0
197,Ligaya,Brush/Shrubs,0
198,Burgos,Brush/Shrubs,0
199,Burgos,Brush/Shrubs,0
200,Burgos,Annual Crop,0
201,San Agustin,Brush/Shrubs,0
202,San Agustin,Annual Crop,0
203,Batong Buhay,Annual Crop,0
204,San Agustin,Grassland,0
205,San Agustin,Annual Crop,0
206,San Agustin,NULL,0
224,San Agustin,Annual Crop,0
225,San Agustin,Annual Crop,0
226,Burgos,Barren,0
227,Burgos,Annual Crop,0
228,Malisbong,Annual Crop,0
229,Malisbong,Annual Crop,0
230,Batong Buhay,Annual Crop,0
231,Batong Buhay,Brush/Shrubs,0
232,Batong Buhay,Brush/Shrubs,0
233,Batong Buhay,Brush/Shrubs,0
234,Batong Buhay,inland water,0
235,Malisbong,Annual Crop,0
236,Malisbong,Annual Crop,0
237,Malisbong,Grassland,0
238,Pag-Asa,inland water,0
239,Pag-Asa,annual Crop,0
240,Pag-Asa,Brush/Shrubs,0
241,Pag-Asa,Built Up,0
258,Batong Buhay,NULL,0
259,Batong Buhay,annual Crop,0
260,Batong Buhay,Barren,0
261,Burgos,annual Crop,0
262,Burgos,annual Crop,0
263,Malisbong,annual Crop,0
264,Malisbong,annual Crop,0
265,Malisbong,annual Crop,0
266,Malisbong,Brush/Shrubs,0
267,Poblacion (Lumangbayan),Brush/Shrubs,0
268,Poblacion (Lumangbayan),Brush/Shrubs,0
269,Malisbong,Brush/Shrubs,0
270,Ligaya,Annual Crop,0
271,Pag-Asa,Open Forest,0
272,Pag-Asa,Open Forest,0
273,San Agustin,Annual Crop,0
274,Pag-Asa,Annual Crop,0
275,Burgos,Annual Crop,0
276,Burgos,Built Up,0
294,Malisbong,NULL,0
295,Malisbong,Barren,0
296,Malisbong,Brush/Shrubs,0
297,Ligaya,barren,0
298,Ligaya,Annual Crop,0
299,Malisbong,annual Crop,0
300,Ligaya,annual Crop,0
301,Malisbong,Brush/Shrubs,0
302,Ligaya,Brush/Shrubs,0
303,Claudio Salgado,Brush/Shrubs,0
304,Claudio Salgado,Annual Crop,0
305,Claudio Salgado,Built Up,0
306,San Agustin,Open Forest,0
307,San Agustin,Open Forest,0
308,Batong Buhay,Open Forest,0
309,Pag-Asa,Open Forest,0
310,Pag-Asa,Annual Crop,0
311,Pag-Asa,Built Up,1
312,Pag-Asa,Built Up,0
313,Batong Buhay,NULL,0
329,Malisbong,NULL,0
330,Malisbong,barren,0
331,Ligaya,Brush/Shrubs,0
332,Burgos,barren,0
333,Ligaya,Grassland,0
334,Ligaya,Built Up,0
335,Burgos,Built Up,0
336,Burgos,Brush/Shrubs,0
337,Poblacion (Lumangbayan),Brush/Shrubs,0
338,Poblacion (Lumangbayan),Annual Crop,0
339,Batong Buhay,Grassland,0
340,Batong Buhay,Open Forest,0
341,Batong Buhay,Open Forest,0
342,Malisbong,Open Forest,0
343,Pag-Asa,Open Forest,0
344,Pag-Asa,Open Forest,0
345,Pag-Asa,Brush/Shrubs,0
346,Pag-Asa,Annual Crop,0
347,Batong Buhay,Brush/Shrubs,0
348,Malisbong,Brush/Shrubs,0
349,Malisbong,NULL,0
366,Burgos,barren,1
367,Burgos,Built Up,0
368,Burgos,Grassland,0
369,Burgos,Grassland,0
370,San Agustin,Brush/Shrubs,0
371,San Agustin,Brush/Shrubs,0
372,Claudio Salgado,Brush/Shrubs,0
373,Claudio Salgado,inland water,0
374,Malisbong,Grassland,0
375,Malisbong,Built Up,0
376,Malisbong,Open Forest,0
377,Ligaya,Open Forest,0
378,Ligaya,Open Forest,0
379,Pag-Asa,Open Forest,0
380,Pag-Asa,Brush/Shrubs,0
381,Pag-Asa,Brush/Shrubs,0
382,Malisbong,Brush/Shrubs,0
383,Ligaya,Annual Crop,0
384,Ligaya,Brush/Shrubs,0
385,Ligaya,NULL,0
399,Burgos,NULL,0
400,Pag-Asa,Brush/Shrubs,0
401,Pag-Asa,Open Forest,0
402,Pag-Asa,Open Forest,0
403,San Agustin,inland water,0
404,San Agustin,Grassland,0
405,San Agustin,Grassland,0
406,Claudio Salgado,Brush/Shrubs,0
407,Claudio Salgado,Brush/Shrubs,0
408,Claudio Salgado,inland water,0
409,Burgos,inland water,0
410,Burgos,Open Forest,0
411,Burgos,Open Forest,0
412,Pag-Asa,Open Forest,0
413,Pag-Asa,Open Forest,0
414,San Agustin,Brush/Shrubs,0
415,San Agustin,Brush/Shrubs,0
416,Ligaya,Brush/Shrubs,0
417,Burgos,Brush/Shrubs,0
418,Ilvita,Brush/Shrubs,0
419,Ilvita,NULL,0
431,Pag-Asa,NULL,0
432,Pag-Asa,NULL,0
433,Pag-Asa,NULL,0
434,Pag-Asa,inland water,0
435,Pag-Asa,Brush/Shrubs,0
436,Pag-Asa,Open Forest,0
437,Pag-Asa,Brush/Shrubs,0
438,San Agustin,Open Forest,0
439,San Agustin,Open Forest,0
440,San Agustin,inland water,0
441,Claudio Salgado,Brush/Shrubs,0
442,Ibud,Built Up,0
443,Ibud,Grassland,0
444,Pag-Asa,Open Forest,0
445,Pag-Asa,Open Forest,0
446,Pag-Asa,Open Forest,0
447,Pag-Asa,Open Forest,0
448,Pag-Asa,Open Forest,0
449,San Agustin,Brush/Shrubs,0
450,Batong Buhay,Brush/Shrubs,0
451,Ilvita,Built Up,0
452,Lagnas,Brush/Shrubs,0
453,Paetan,Brush/Shrubs,0
454,San Francisco,NULL,0
464,Pag-Asa,NULL,0
465,Pag-Asa,Brush/Shrubs,0
466,Pag-Asa,Brush/Shrubs,0
467,Pag-Asa,inland water,0
468,San Agustin,Brush/Shrubs,0
469,San Agustin,Brush/Shrubs,0
470,San Agustin,Brush/Shrubs,0
471,San Agustin,Grassland,0
472,San Agustin,Open Forest,0
473,San Agustin,Open Forest,0
474,San Agustin,Open Forest,0
475,San Agustin,Open Forest,0
476,Santo Niño,Grassland,0
477,Buenavista,Open Forest,0
478,Poblacion (Lumangbayan),Open Forest,0
479,Pag-Asa,Open Forest,0
480,Pag-Asa,Open Forest,0
481,Pag-Asa,Brush/Shrubs,0
482,Pag-Asa,Brush/Shrubs,0
483,Batong Buhay,Brush/Shrubs,0
484,Batong Buhay,Brush/Shrubs,0
485,San Francisco,Brush/Shrubs,0
486,San Francisco,Open Forest,0
487,Batong Buhay,Open Forest,0
488,Batong Buhay,NULL,0
497,San Agustin,NULL,0
498,Batong Buhay,Grassland,0
499,Batong Buhay,Brush/Shrubs,0
500,Batong Buhay,Grassland,0
501,Batong Buhay,Grassland,0
502,Malisbong,inland water,0
503,Malisbong,Brush/Shurbs,0
504,Malisbong,Grassland,0
505,Malisbong,Grassland,0
506,Malisbong,Brush/Shrubs,0
507,Ligaya,Grassland,0
508,San Agustin,Brush/Shrubs,0
509,Batong Buhay,Brush/Shrubs,0
510,Batong Buhay,inland water,0
511,Poblacion (Lumangbayan),inland water,0
512,Santa Lucia,Open/barren,0
513,Santa Lucia,Open Forest,0
514,Pag-Asa,Open Forest,0
515,Pag-Asa,Open Forest,0
516,Pag-Asa,Open Forest,0
517,Pag-Asa,Brush/Shrubs,0
518,Pag-Asa,Brush/Shurbs,0
519,Batong Buhay,Brush/Shrubs,0
520,Malisbong,Open Forest,0
521,Malisbong,Open Forest,0
522,Malisbong,Open Forest,0
523,Malisbong,Open Forest,0
530,Ligaya,Grassland,0
531,Burgos,Grassland,0
532,Burgos,Grassland,0
533,Burgos,inland water,0
534,Pag-Asa,inland water,0
535,Pag-Asa,inland water,0
536,Pag-Asa,inland water,0
537,Pag-Asa,Grassland,0
538,Pag-Asa,Brush/Shrubs,0
539,Pag-Asa,Brush/Shrubs,0
540,Pag-Asa,Brush/Shrubs,0
541,Pag-Asa,Grassland,0
542,Batong Buhay,Grassland,0
543,Batong Buhay,Brush/Shrubs,0
544,Batong Buhay,inland water,0
545,Santa Lucia,Grassland,0
546,Santa Lucia,Brush/Shrubs,0
547,Claudio Salgado,Open Forest,0
548,Claudio Salgado,inland water,0
549,Pag-Asa,Mangrove Open Forest,0
550,San Agustin,Mangrove Open Forest,0
551,San Agustin,Brush/Shrubs,0
552,San Agustin,Open Forest,0
553,Malisbong,Brush/Shrubs,0
554,Malisbong,Brush/Shrubs,0
555,Malisbong,Open Forest,0
556,Ligaya,Open Forest,0
557,Ligaya,Open Forest,0
564,Pag-Asa,Grassland,0
565,Pag-Asa,Grassland,0
566,Pag-Asa,Grassland,0
567,Pag-Asa,Grassland,0
568,San Agustin,inland water,0
569,San Agustin,Brush/Shrubs,0
570,San Agustin,Brush/Shrubs,0
571,San Agustin,Open Forest,0
572,San Agustin,Frrest,0
573,San Agustin,Open Forest,0
574,Batong Buhay,Open Forest,0
575,Batong Buhay,Grassland,0
576,Batong Buhay,Brush/Shrubs,0
577,Batong Buhay,Brush/Shrubs,0
578,Malisbong,Grassland,0
579,Malisbong,Grassland,0
580,Claudio Salgado,inland water,0
581,Claudio Salgado,Brush/Shubs,0
582,Claudio Salgado,Open Forest,0
583,Claudio Salgado,Brush/Shrubs,0
584,Batong Buhay,inland water,0
585,Batong Buhay,Open Forest,0
586,Batong Buhay,Forres,0
587,Batong Buhay,Open Forest,0
588,Malisbong,Open Forest,0
589,Malisbong,Brush/Shrubs,0
590,Ligaya,Open Forest,0
591,Ligaya,Open Forest,0
592,Ligaya,Open Forest,0
593,Burgos,Open Forest,0
597,Malisbong,NULL,0
598,Malisbong,Grassland,0
599,Malisbong,Grassland,0
600,Malisbong,Grassland,0
601,Ligaya,Grassland,0
602,Ligaya,inland water,0
603,Ligaya,Brush/Shrubs,0
604,Burgos,Brush/Shrubs,0
605,Burgos,Marshland/Swamp,0
606,Burgos,Open Forest,0
607,Pag-Asa,Open Forest,0
608,Pag-Asa,Open Forest,0
609,Pag-Asa,Grassland,0
610,Pag-Asa,Grassland,0
611,Pag-Asa,Grassland,0
612,Malisbong,Grassland,0
613,Malisbong,inland water,0
614,Malisbong,inland water,0
615,Ibud,Brush/Shrubs,0
616,Ibud,Grassland,0
617,Santo Niño,Grasland,0
618,Santo Niño,Brush/Shrubs,0
619,Malisbong,inland water,0
620,Malisbong,Brush/Shrubs,0
621,Malisbong,Open Forest,0
622,Malisbong,Open Forest,0
623,Ligaya,Grassland,0
624,Burgos,Brush/Shrubs,0
625,Burgos,Open Forest,0
626,Burgos,Brush/Shrubs,0
627,Pag-Asa,Brush/Shrubs,0
631,Pag-Asa,NULL,0
632,Pag-Asa,Open Forest,0
633,Pag-Asa,Grassland,0
634,Pag-Asa,Grassland,0
635,Pag-Asa,Grassland,0
636,Pag-Asa,Grassland,0
637,San Agustin,inland water,0
638,San Agustin,inland water,0
639,San Agustin,Open Forest,0
640,San Agustin,Open Forest,0
641,San Agustin,Open Forest,0
642,San Agustin,Open Forest,0
643,Batong Buhay,Open Forest,0
644,Batong Buhay,Grasslad,0
645,Batong Buhay,Grassland,0
646,Batong Buhay,Grassland,0
647,Ligaya,Grassland,0
648,Ligaya,inland water,0
649,Burgos,inland water,0
650,Poblacion (Lumangbayan),Brush/Shrubs,0
651,Poblacion (Lumangbayan),Brush/Shrubs,0
652,Santa Lucia,Grassland,0
653,Santa Lucia,Grassland,0
654,Ligaya,Grassland,0
655,Ligaya,Brush/Shrubs,0
656,Burgos,Brush/Shrubs,0
657,Burgos,Grassland,0
658,Burgos,Grassland,0
659,Burgos,Brush/Shrubs,0
660,Burgos,Grassland,0
661,Pag-Asa,Brush/Shrubs,0
662,Paetan,Brush/Shrubs,0
663,San Francisco,Brush/Shrubs,0
666,Malisbong,Open Forest,0
667,Malisbong,Open Forest,0
668,Malisbong,Open Forest,0
669,Malisbong,Grassland,0
670,Malisbong,Grassland,0
671,Ligaya,Grassland,0
672,Ligaya,Open Forest,0
673,Burgos,open foret,0
674,Burgos,Open Forest,0
675,Burgos,Brush/Shrubs,0
676,Pag-Asa,Open Forest,0
677,Pag-Asa,Open Forest,0
678,Pag-Asa,Brush/Shrubs,0
679,Pag-Asa,Brush/Shrubs,0
680,Pag-Asa,Grassland,0
681,Burgos,Grassland,0
682,Burgos,Grassland,0
683,Pag-Asa,inland water,0
684,Pag-Asa,Brush/Shrubs,0
685,Santa Lucia,Grassland,0
686,Santa Lucia,Grassland,0
687,Santa Lucia,Grassland,0
688,San Nicolas,Grassland,0
689,Pag-Asa,Grassland,0
690,Pag-Asa,Brush/Shrubs,0
691,Pag-Asa,Grassland,0
692,Pag-Asa,Grassland,0
693,Pag-Asa,Grassland,0
694,Pag-Asa,Brush/Shrubs,0
695,San Francisco,bruh/shrubs,0
696,San Francisco,Brush/Shrubs,0
697,Batong Buhay,Brush/Shrubs,0
698,Batong Buhay,NULL,0
701,Pag-Asa,Open Forest,0
702,Pag-Asa,Open Forest,0
703,Pag-Asa,Open Forest,0
704,Pag-Asa,Brush/Shrubs,0
705,San Agustin,Brush/Shrubs,0
706,San Agustin,Grassland,0
707,San Agustin,Open Forest,0
708,San Agustin,Closed Forest,0
709,San Agustin,Open Forest,0
710,San Agustin,Brush/Shrubs,0
711,San Agustin,Brush/Shrubs,0
712,San Agustin,Brush/Shrubs,0
713,Batong Buhay,Open Forest,0
714,Batong Buhay,Brush/Shrubs,0
715,Batong Buhay,Grassland,0
716,Pag-Asa,Grassland,0
717,Pag-Asa,marshland,0
718,San Agustin,Grassland,0
719,San Agustin,Grassland,0
720,San Nicolas,Grassland,0
721,Claudio Salgado,Grassland,0
722,Claudio Salgado,Grassland,0
723,Claudio Salgado,Brush/Shrubs,0
724,Pag-Asa,Brush/Shrubs,0
725,Pag-Asa,Brush/Shrubs,0
726,Pag-Asa,Grassland,0
727,Pag-Asa,Grassland,0
728,Pag-Asa,Brush/Shrubs,0
729,Pag-Asa,Brush/Shrubs,0
730,Pag-Asa,Brush/Shrubs,0
731,Malisbong,Brush/Shrubs,0
732,Malisbong,Grassland,0
733,Malisbong, Brush/Shrubs,0
736,Batong Buhay,NULL,0
737,Malisbong,Open Forest,0
738,Malisbong,Open Forest,0
739,Malisbong,Open Forest,0
740,Malisbong,Brush/Shrubs,0
741,Ligaya,inland water,0
742,Ligaya,Open Forest,0
743,Ligaya,open fores,0
744,Burgos,Open Forest,0
745,Burgos,Brush/Shrubs,0
746,Burgos,Open Forest,0
747,Pag-Asa,Open Forest,0
748,Pag-Asa,Open Forest,0
749,Pag-Asa,Grassland,0
750,San Agustin,Grassland,0
751,San Agustin,Grassland,0
752,San Agustin,marshland/swamp,0
753,San Agustin,marshland/swamp,0
754,San Agustin,Grassland ,0
755,Victoria,Grassland,0
756,Tagumpay,Grassland,0
757,Tagumpay,Grassland,0
758,Ibud,Grassland,0
759,Pag-Asa,Grassland,0
