,id,BARANGAY,PSGC,LAND COVERAGE,RHU,POPULATION DENSITY PER HEXAGON,POIs PER HEXAGON,ROADS,STORM SURGE HAZARD LEVEL,FLOOD HAZARD LEVEL,LANDSLIDE HAZARD LEVEL,LANDCOVER NUMERICAL,HCFAI
0,22,Ligaya,PH175109009,Brush/Shrubs,0,0,1,1,0,0,2,1,0
1,23,Burgos,PH175109009,Brush/Shrubs,0,0,0,0,0,0,2,1,0
2,49,Pag-Asa,PH175109004,,0,154.5388074,0,0,3,2,0,0,1151.19717
3,50,San Agustin,PH175109004,Built Up,0,214.8126723,0,0,3,2,0,0,1600.191852
4,51,San Agustin,PH175109004,Grassland,0,302.9027046,0,0,3,1,0,1,2469.77542
5,58,Burgos,PH175109009,Built Up,0,1243.89281,13,1,3,2,2,0,5967.815673
6,59,Burgos,PH175109009,,0,0,0,0,3,2,2,0,0
7,84,San Agustin,PH175109004,Annual Crop,0,82.98335085,0,0,3,2,0,0,618.1631673
8,85,San Agustin,PH175109004,Annual Crop,0,75.0681483,0,1,3,2,0,0,581.7213425
9,86,Batong Buhay,PH175109004,inland water,0,164.8609486,4,1,3,3,0,0,1418.065842
10,87,Batong Buhay,PH175109004,Annual Crop,0,146.639314,0,0,3,2,0,0,1092.351922
11,88,Batong Buhay,PH175109004,Brush/Shrubs,0,168.7753023,0,0,3,2,0,1,1307.880874
12,89,Malisbong,PH175109004,Brush/Shrubs,0,239.7372697,0,0,3,3,0,1,1822.383785
13,90,Pag-Asa,PH175109006,Annual Crop,0,204.4484187,0,0,3,2,0,0,1522.986006
14,91,Pag-Asa,PH175109006,Annual Crop,0,388.3533783,0,0,3,2,0,0,2892.938787
15,92,Batong Buhay,PH175109019,Perennial Crop,0,1763.793945,3,1,3,2,0,0,14990.9138
16,93,Batong Buhay,PH175109002,Built Up,1,1590.110229,47,1,3,2,1,0,0
17,94,Pag-Asa,PH175109009,Built Up,0,506.9528427,4,1,3,2,2,0,1291.560146
18,95,Pag-Asa,PH175109009,Brush/Shrubs,0,181.431633,1,1,3,1,2,1,453.9676753
19,96,Ligaya,PH175109018,,0,0,0,0,3,1,1,0,0
20,97,Burgos,PH175109018,Perennial Crop,0,115.1348208,0,1,3,2,2,0,178.1933419
21,98,Burgos,PH175109018,,0,126.351181,0,0,3,1,0,0,992.3232849
22,100,Burgos,PH175109018,,0,0,0,0,3,1,0,0,0
23,118,Malisbong,PH175109004,,0,201.3261737,0,0,2,2,0,0,1529.454653
24,119,Malisbong,PH175109004,Annual Crop,0,104.5529099,0,1,2,2,0,0,825.6437931
25,120,Malisbong,PH175109004,Annual Crop,0,42.1661644,0,0,2,2,0,0,320.3321016
26,121,Ligaya,PH175109004,Annual Crop,0,38.44743729,0,0,3,3,0,0,280.7273199
27,122,Ligaya,PH175109004,Annual Crop,0,74.7134107,0,0,3,2,0,0,556.5583713
28,123,Burgos,PH175109004,Annual Crop,0,86.37841034,0,0,3,3,0,0,630.6995041
29,124,Pag-Asa,PH175109006,Annual Crop,0,126.8078893,0,1,3,3,0,0,963.941241
30,125,Pag-Asa,PH175109006,Annual Crop,0,239.6725464,0,1,3,2,0,0,1857.280866
31,126,Batong Buhay,PH175109019,Annual Crop,0,732.4038544,0,1,3,2,2,0,1133.536228
32,127,Batong Buhay,PH175109019,Brush/Shrubs,0,837.013031,0,1,2,1,1,1,2347.191042
33,128,Pag-Asa,PH175109009,Brush/Shrubs,0,129.9716377,0,0,0,2,2,1,1026.372925
34,129,Pag-Asa,PH175109009,Brush/Shrubs,0,60.39352036,0,1,2,2,1,1,144.9322358
35,130,Burgos,PH175109018,Brush/Shrubs,0,39.86988258,0,1,3,1,2,1,89.79262967
36,131,SanAgustin,PH175109018,Brush/Shrubs,0,36.45482635,0,1,3,2,2,1,67.35732293
37,132,San Agustin,PH175109018,Brush/Shrubs,0,83.03134727,2,1,3,2,1,1,228.5140427
38,133,San Agustin,PH175109018,Brush/Shubs,0,182.8433533,1,1,3,1,2,0,402.6469937
39,134,San Agustin,PH175109018,Annual Crop,0,331.8771591,0,1,3,1,0,0,2706.024204
40,135,San Agustin,PH175109016,Annual Crop,0,112.4160118,0,0,3,2,0,0,837.4142186
41,136,San Agustin,PH175109016,,0,133.0301182,0,0,3,2,0,0,990.9737118
42,154,Burgos,PH175109004,Annual Crop,0,319.1649628,1,1,0,2,0,0,4579.522387
43,155,Burgos,PH175109004,Annual Crop,0,66.37104511,0,1,2,2,0,0,524.1254547
44,156,Burgos,PH175109004,Annual Crop,0,46.39176464,0,0,1,2,0,0,371.1966608
45,157,Ligaya,PH175109021,Annual Crop,0,54.33431625,0,0,1,2,0,0,434.7477815
46,158,Malisbong,PH175109020,Annual Crop,0,72.73437119,2,0,2,3,0,0,578.1832102
47,159,Malisbong,PH175109020,Annual Crop,0,98.84300137,0,0,2,1,0,0,790.8772674
48,160,Pag-Asa,PH175109006,Annual Crop,0,262.573143,1,0,2,1,0,0,2166.582421
49,161,Batong Buhay,PH175109019,Brush/Shrubs,0,430.1041374,0,0,2,1,2,1,903.131711
50,162,Malisbong,PH175109019,Brush/Shubs,0,214.2741547,1,0,0,2,2,0,1681.387698
51,163,Malisbong,PH175109019,Brush/Shrubs,0,212.2247314,0,0,0,2,1,1,1761.751384
52,164,Ligaya,PH175109024,Brush/Shrubs,0,71.30614948,0,0,0,1,2,1,591.937173
53,165,San Agustin,PH175109018,Brush/Shrubs,0,29.68353653,0,0,0,1,2,1,246.4133714
54,166,San Agustin,PH175109018,Brush/Shrubs,0,30.89974785,0,0,0,2,2,1,244.0121948
55,167,San Agustin,PH175109018,Brush/Shrubs,0,21.72891617,0,0,0,2,2,1,171.5910613
56,168,San Agustin,PH175109018,Brush/Shrubs,0,31.63377571,0,0,0,1,2,1,262.6029859
57,169,San Agustin,PH175109018,Annual Crop,0,76.30988312,2,0,0,1,2,0,648.7368847
58,170,San Agustin,PH175109016,Annual Crop,0,44.76221752,0,0,2,2,0,0,340.0540556
59,171,San Agustin,PH175109016,inland water,0,111.3374507,1,0,3,2,0,0,857.2141172
60,188,Pag-Asa,PH175109004,,0,373.9398668,0,0,0,2,2,0,2840.783484
61,189,Pag-Asa,PH175109004,Annual Crop,0,173.5868009,0,0,0,2,0,0,2395.228726
62,190,San Agustin,PH175109007,Built Up,0,110.2808075,3,0,1,3,0,0,948.8221235
63,191,Burgos,PH175109021,Annual Crop,0,99.19086456,0,0,0,2,0,0,1368.680147
64,192,Burgos,PH175109021,Annual Crop,0,82.02555593,2,0,0,2,0,0,1172.838278
65,193,Malisbong,PH175109020,Annual Crop,0,46.30811882,0,1,0,2,0,0,652.8726798
66,194,San Agustin,PH175109017,Annual Crop,0,104.2768326,0,1,0,1,0,0,1512.316324
67,195,Batong Buhay,PH175109017,Annual Crop,0,305.6322784,1,1,0,1,2,0,2613.568022
68,196,Batong Buhay,PH175109017,Brush/Shrubs,0,103.0152855,0,0,0,2,2,1,813.5013282
69,197,Ligaya,PH175109024,Brush/Shrubs,0,75.42822011,0,0,0,2,2,1,595.6490529
70,198,Burgos,PH175109024,Brush/Shrubs,0,94.24123001,0,1,0,1,1,1,848.7173961
71,199,Burgos,PH175109024,Brush/Shrubs,0,52.54802513,0,1,0,1,1,1,473.2368524
72,200,Burgos,PH175109024,Annual Crop,0,49.26616669,0,1,0,2,1,0,408.9756024
73,201,San Agustin,PH175109018,Brush/Shrubs,0,38.6944418,0,1,0,2,2,1,317.17444
74,202,San Agustin,PH175109018,Annual Crop,0,32.77511597,1,1,0,1,2,0,280.2714277
75,203,Batong Buhay,PH175109018,Annual Crop,0,34.68528811,0,1,0,1,2,0,287.9346527
76,204,San Agustin,PH175109016,Grassland,0,50.99588203,0,1,0,2,2,1,418.0081059
77,205,San Agustin,PH175109016,Annual Crop,0,66.46010971,0,1,2,1,2,0,139.5527905
78,206,San Agustin,PH175109016,,0,189.6020764,0,1,3,2,0,0,1469.272613
79,224,San Agustin,PH175109007,Annual Crop,0,211.5861893,0,1,0,2,0,0,2983.037229
80,225,San Agustin,PH175109007,Annual Crop,0,83.36628723,0,1,0,2,0,0,1175.3354
81,226,Burgos,PH175109021,Barren,0,62.26786995,0,0,0,2,0,0,859.200066
82,227,Burgos,PH175109021,Annual Crop,0,115.9672063,0,1,0,2,0,0,1634.957815
83,228,Malisbong,PH175109004,Annual Crop,0,76.98187637,0,1,0,3,0,0,1073.958272
84,229,Malisbong,PH175109004,Annual Crop,0,100.6183446,1,1,0,1,0,0,1484.41223
85,230,Batong Buhay,PH175109017,Annual Crop,0,427.6791687,6,1,0,1,0,0,6844.106349
86,231,Batong Buhay,PH175109017,Brush/Shrubs,0,275.6437912,1,1,0,2,1,1,2439.819165
87,232,Batong Buhay,PH175109017,Brush/Shrubs,0,77.60093816,0,0,0,2,1,1,644.1924055
88,233,Batong Buhay,PH175109024,Brush/Shrubs,0,64.17419815,0,0,0,2,2,1,506.7771756
89,234,Batong Buhay,PH175109024,inland water,0,65.54134115,0,1,0,2,2,0,517.5733661
90,235,Malisbong,PH175109024,Annual Crop,0,95.55804062,0,1,0,1,1,0,831.908913
91,236,Malisbong,PH175109024,Annual Crop,0,187.3348637,2,1,0,1,2,0,1648.799359
92,237,Malisbong,PH175109024,Grassland,0,73.94545364,0,1,0,2,2,1,606.1234316
93,238,Pag-Asa,PH175109023,inland water,0,35.32730675,0,1,0,2,0,0,498.0602542
94,239,Pag-Asa,PH175109005,annual Crop,0,33.58775012,0,0,0,2,1,0,268.7472827
95,240,Pag-Asa,PH175109005,Brush/Shrubs,0,40.86975002,0,1,2,1,2,1,98.07913518
96,241,Pag-Asa,PH175109005,Built Up,0,249.9569626,1,1,3,2,0,0,1999.466549
97,258,Batong Buhay,PH175109007,,0,161.4356842,0,0,0,2,3,0,1202.573683
98,259,Batong Buhay,PH175109007,annual Crop,0,150.434227,0,1,0,2,3,0,1165.75142
99,260,Batong Buhay,PH175109007,Barren,0,145.3583145,0,0,0,2,0,0,2005.719378
100,261,Burgos,PH175109021,annual Crop,0,115.7382711,0,1,0,1,0,0,1678.540404
101,262,Burgos,PH175109021,annual Crop,0,134.5793406,2,1,0,3,0,0,1944.778281
102,263,Malisbong,PH175109004,annual Crop,0,258.8675537,1,1,0,1,0,0,3819.046758
103,264,Malisbong,PH175109017,annual Crop,0,254.1030121,0,1,0,1,0,0,3685.230206
104,265,Malisbong,PH175109017,annual Crop,0,179.5789261,0,1,0,2,1,0,1490.747188
105,266,Malisbong,PH175109017,Brush/Shrubs,0,84.96152242,0,1,0,1,1,1,765.1462323
106,267,Poblacion (Lumangbayan),PH175109001,Brush/Shrubs,0,52.87419128,0,0,0,2,1,1,438.9270707
107,268,Poblacion (Lumangbayan),PH175109001,Brush/Shrubs,0,34.95804787,0,0,0,1,1,1,304.3376718
108,269,Malisbong,PH175109024,Brush/Shrubs,0,52.36063131,0,0,0,2,2,1,413.4866288
109,270,Ligaya,PH175109024,Annual Crop,0,93.48990885,1,1,0,1,1,0,837.2766547
110,271,Pag-Asa,PH175109023,Open Forest,0,112.1362813,0,1,0,2,2,0,885.5289129
111,272,Pag-Asa,PH175109023,Open Forest,0,44.22051811,1,1,0,1,2,0,378.1450463
112,273,San Agustin,PH175109023,Annual Crop,0,28.87562752,1,1,0,1,1,0,258.6042612
113,274,Pag-Asa,PH175109005,Annual Crop,0,59.38480886,1,1,0,1,1,0,531.8382991
114,275,Burgos,PH175109008,Annual Crop,0,75.15876897,0,1,3,0,1,0,612.8214684
115,276,Burgos,PH175109008,Built Up,0,489.7289835,0,1,3,0,,0,
116,294,Malisbong,PH175109007,,0,144.0885627,0,1,0,2,3,0,1116.577324
117,295,Malisbong,PH175109007,Barren,0,136.225268,0,1,0,3,1,0,1110.738905
118,296,Malisbong,PH175109007,Brush/Shrubs,0,140.5917435,0,1,0,1,2,1,1209.278535
119,297,Ligaya,PH175109022,barren,0,211.7267202,2,1,0,3,0,0,3059.619144
120,298,Ligaya,PH175109004,Annual Crop,0,173.7971649,1,1,0,3,0,0,2468.057676
121,299,Malisbong,PH175109014,annual Crop,0,186.2113597,0,1,0,1,0,0,2700.604459
122,300,Ligaya,PH175109014,annual Crop,0,201.1806844,0,1,0,1,0,0,2917.703056
123,301,Malisbong,PH175109017,Brush/Shrubs,0,114.4351158,0,1,0,1,2,1,984.2962731
124,302,Ligaya,PH175109017,Brush/Shrubs,0,44.4528141,0,0,0,2,2,1,351.0393932
125,303,Claudio Salgado,PH175109001,Brush/Shrubs,0,28.25935555,0,0,0,2,2,1,223.1612829
126,304,Claudio Salgado,PH175109001,Annual Crop,0,54.77282715,0,1,0,2,1,0,454.6883081
127,305,Claudio Salgado,PH175109001,Built Up,0,186.9453913,1,1,0,2,2,0,1523.025263
128,306,San Agustin,PH175109023,Open Forest,0,46.21413803,0,1,0,2,2,0,364.9483908
129,307,San Agustin,PH175109023,Open Forest,0,26.57545853,0,0,0,1,2,0,212.6394963
130,308,Batong Buhay,PH175109023,Open Forest,0,26.94951916,0,1,0,0,1,0,390.8461424
131,309,Pag-Asa,PH175109008,Open Forest,0,24.38389778,0,0,0,0,1,0,346.3220264
132,310,Pag-Asa,PH175109008,Annual Crop,0,33.97217369,0,1,0,0,1,0,492.6949886
133,311,Pag-Asa,PH175109008,Built Up,1,203.3147863,5,1,2,0,0,0,0
134,312,Pag-Asa,PH175109008,Built Up,0,500.2253525,1,1,3,0,3,0,3927.563026
135,313,Batong Buhay,PH175109003,,0,51.93804889,0,0,3,0,2,0,386.8991608
136,329,Malisbong,PH175109007,,0,112.8196498,0,1,0,2,3,0,874.2669112
137,330,Malisbong,PH175109007,barren,0,124.8660787,0,0,0,3,2,0,930.1577956
138,331,Ligaya,PH175109007,Brush/Shrubs,0,175.9283009,0,0,0,1,2,1,1460.442078
139,332,Burgos,PH175109022,barren,0,151.6514562,0,1,0,3,0,0,2115.658172
140,333,Ligaya,PH175109004,Grassland,0,122.8277397,0,1,0,1,0,1,1818.20657
141,334,Ligaya,PH175109014,Built Up,0,343.697876,4,1,0,1,2,0,3196.853608
142,335,Burgos,PH175109014,Built Up,0,361.9338341,0,1,0,2,2,0,2858.155014
143,336,Burgos,PH175109014,Brush/Shrubs,0,110.1045284,0,1,0,2,2,1,902.5157235
144,337,Poblacion (Lumangbayan),PH175109001,Brush/Shrubs,0,41.91342036,0,0,0,2,2,1,330.9860567
145,338,Poblacion (Lumangbayan),PH175109001,Annual Crop,0,47.23997116,0,1,0,3,2,0,366.0740283
146,339,Batong Buhay,PH175109023,Grassland,0,114.9148226,0,1,0,3,2,1,924.9773617
147,340,Batong Buhay,PH175109023,Open Forest,0,141.0898104,0,1,0,3,2,0,1093.339263
148,341,Batong Buhay,PH175109023,Open Forest,0,22.27457476,0,0,0,2,2,0,169.2176997
149,342,Malisbong,PH175109023,Open Forest,0,17.96354294,1,1,0,0,2,0,257.7489907
150,343,Pag-Asa,PH175109008,Open Forest,0,18.67279466,0,0,0,0,1,0,265.2078082
151,344,Pag-Asa,PH175109008,Open Forest,0,14.28537893,1,0,0,0,1,0,206.4651324
152,345,Pag-Asa,PH175109008,Brush/Shrubs,0,23.55871987,0,1,0,0,1,1,348.7373402
153,346,Pag-Asa,PH175109008,Annual Crop,0,91.63367939,0,1,2,0,1,0,760.6830761
154,347,Batong Buhay,PH175109003,Brush/Shrubs,0,52.91871452,0,0,2,0,3,1,410.079992
155,348,Malisbong,PH175109003,Brush/Shrubs,0,133.9986038,0,0,2,0,2,1,1058.17347
156,349,Malisbong,PH175109003,,0,423.8084412,0,0,2,0,2,0,3219.630018
157,366,Burgos,PH175109011,barren,1,233.1816172,0,1,0,3,3,0,0
158,367,Burgos,PH175109011,Built Up,0,260.4488525,2,1,0,2,3,0,2148.505942
159,368,Burgos,PH175109004,Grassland,0,105.7088051,0,1,0,2,2,1,866.4844226
160,369,Burgos,PH175109014,Grassland,0,97.41366831,0,0,0,2,3,1,754.8822129
161,370,San Agustin,PH175109014,Brush/Shrubs,0,152.267189,0,0,0,1,2,1,1264.02295
162,371,San Agustin,PH175109014,Brush/Shrubs,0,131.9689941,0,1,0,2,2,1,1081.736545
163,372,Claudio Salgado,PH175109001,Brush/Shrubs,0,125.7727432,1,1,0,2,2,1,1062.389687
164,373,Claudio Salgado,PH175109001,inland water,0,102.8991941,0,1,0,2,2,0,812.5845661
165,374,Malisbong,PH175109023,Grassland,0,45.64625168,0,0,0,3,2,1,353.7239083
166,375,Malisbong,PH175109023,Built Up,0,183.7136002,1,1,0,3,2,0,1469.569779
167,376,Malisbong,PH175109023,Open Forest,0,36.0824337,0,1,0,2,2,0,284.9393427
168,377,Ligaya,PH175109023,Open Forest,0,15.88223743,0,0,0,1,2,0,127.0793113
169,378,Ligaya,PH175109023,Open Forest,0,13.74823221,0,0,0,0,3,0,187.674281
170,379,Pag-Asa,PH175109008,Open Forest,0,12.62824345,0,0,0,0,3,0,172.3855455
171,380,Pag-Asa,PH175109008,Brush/Shrubs,0,13.35993767,0,0,0,0,2,1,188.3544081
172,381,Pag-Asa,PH175109008,Brush/Shrubs,0,24.22939491,0,0,0,0,2,1,341.5969033
173,382,Malisbong,PH175109003,Brush/Shrubs,0,51.50092888,0,1,0,0,1,1,762.3630255
174,383,Ligaya,PH175109003,Annual Crop,0,140.3841019,1,1,2,0,3,0,1122.966581
175,384,Ligaya,PH175109003,Brush/Shrubs,0,254.2348251,0,1,3,0,2,1,2046.397953
176,385,Ligaya,PH175109003,,0,,0,0,3,0,0,0,
177,399,Burgos,PH175109011,,0,65.69467942,0,0,0,0,3,0,896.7845127
178,400,Pag-Asa,PH175109011,Brush/Shrubs,0,93.06293615,0,1,0,0,3,1,1326.2207
179,401,Pag-Asa,PH175109011,Open Forest,0,160.2734966,1,1,0,2,3,0,1282.066688
180,402,Pag-Asa,PH175109013,Open Forest,0,175.9719486,0,1,0,2,3,0,1363.649437
181,403,San Agustin,PH175109013,inland water,0,109.7009811,0,0,0,2,3,0,817.1892944
182,404,San Agustin,PH175109014,Grassland,0,194.6283989,0,1,0,2,3,1,1566.611329
183,405,San Agustin,PH175109014,Grassland,0,314.3540497,0,0,0,1,2,1,2609.562413
184,406,Claudio Salgado,PH175109001,Brush/Shrubs,0,135.6998444,0,0,0,3,2,1,1051.571105
185,407,Claudio Salgado,PH175109001,Brush/Shrubs,0,216.5746053,0,1,0,1,2,1,1862.833583
186,408,Claudio Salgado,PH175109001,inland water,0,68.17461586,0,0,0,3,2,0,507.8492979
187,409,Burgos,PH175109023,inland water,0,45.32822704,0,1,0,2,2,0,357.952441
188,410,Burgos,PH175109023,Open Forest,0,37.05409765,0,1,0,2,2,0,292.612475
189,411,Burgos,PH175109023,Open Forest,0,15.46136689,0,0,0,2,3,0,115.1754831
190,412,Pag-Asa,PH175109023,Open Forest,0,11.57266045,0,0,0,3,3,0,84.49879059
191,413,Pag-Asa,PH175109008,Open Forest,0,9.083059947,0,0,0,1,3,0,71.33555707
192,414,San Agustin,PH175109008,Brush/Shrubs,0,11.53627586,0,0,0,0,3,1,160.940204
193,415,San Agustin,PH175109008,Brush/Shrubs,0,17.98442221,0,0,0,0,1,1,260.8262508
194,416,Ligaya,PH175109003,Brush/Shrubs,0,23.18331003,0,0,0,0,1,1,336.2251934
195,417,Burgos,PH175109003,Brush/Shrubs,0,40.04743385,0,1,0,0,1,1,592.8181005
196,418,Ilvita,PH175109003,Brush/Shrubs,0,102.3540649,0,0,0,0,2,1,1443.033627
197,419,Ilvita,PH175109003,,0,,0,0,3,0,3,0,
198,431,Pag-Asa,PH175109011,,0,40.55147552,0,0,0,0,3,0,553.5598246
199,432,Pag-Asa,PH175109011,,0,59.89774786,0,0,0,0,3,0,817.6517962
200,433,Pag-Asa,PH175109011,,0,65.18899918,0,0,0,0,3,0,889.8815761
201,434,Pag-Asa,PH175109011,inland water,0,85.64774367,0,0,0,0,3,0,1169.159675
202,435,Pag-Asa,PH175109011,Brush/Shrubs,0,54.94699415,0,0,0,0,3,1,766.5541771
203,436,Pag-Asa,PH175109011,Open Forest,0,35.26499176,0,0,0,1,3,0,276.9603908
204,437,Pag-Asa,PH175109011,Brush/Shrubs,0,59.50079981,0,0,0,1,3,1,485.1512074
205,438,San Agustin,PH175109013,Open Forest,0,109.916441,1,1,0,2,3,0,879.2483502
206,439,San Agustin,PH175109013,Open Forest,0,78.78570684,0,1,0,2,2,0,622.1627873
207,440,San Agustin,PH175109013,inland water,0,423.6786194,0,1,0,3,2,0,3283.188687
208,441,Claudio Salgado,PH175109001,Brush/Shrubs,0,391.4488144,1,1,0,3,1,1,3407.049993
209,442,Ibud,PH175109001,Built Up,0,308.4035492,3,1,0,1,2,0,2791.467899
210,443,Ibud,PH175109001,Grassland,0,222.0179825,0,1,0,0,2,1,3196.714734
211,444,Pag-Asa,PH175109023,Open Forest,0,72.6302096,1,1,0,2,2,0,591.7109983
212,445,Pag-Asa,PH175109023,Open Forest,0,15.05509281,0,0,0,1,2,0,120.4610392
213,446,Pag-Asa,PH175109023,Open Forest,0,9.688328266,0,0,0,3,2,0,72.17071407
214,447,Pag-Asa,PH175109023,Open Forest,0,7.594075362,0,0,0,1,3,0,59.64153045
215,448,Pag-Asa,PH175109023,Open Forest,0,8.059304237,0,0,0,1,3,0,63.29529484
216,449,San Agustin,PH175109008,Brush/Shrubs,0,10.05222797,0,0,0,1,3,1,81.96277281
217,450,Batong Buhay,PH175109008,Brush/Shrubs,0,15.17900085,0,0,0,0,1,1,220.1395094
218,451,Ilvita,PH175109003,Built Up,0,17.47517967,0,0,0,0,1,0,248.198204
219,452,Lagnas,PH175109003,Brush/Shrubs,0,27.16820653,0,0,0,0,1,1,394.0177431
220,453,Paetan,PH175109003,Brush/Shrubs,0,55.31036568,0,1,0,0,1,1,818.753732
221,454,San Francisco,PH175109003,,0,60.86114222,0,0,0,0,3,0,830.8028938
222,464,Pag-Asa,PH175109011,,0,26.76913106,0,0,0,0,3,0,365.4198843
223,465,Pag-Asa,PH175109011,Brush/Shrubs,0,29.48088455,0,0,0,0,3,1,411.281737
224,466,Pag-Asa,PH175109011,Brush/Shrubs,0,42.53406048,0,0,0,0,3,1,593.3839009
225,467,Pag-Asa,PH175109011,inland water,0,62.74668439,0,0,0,0,3,0,856.5420409
226,468,San Agustin,PH175109011,Brush/Shrubs,0,31.9956007,0,0,0,0,3,1,446.3640231
227,469,San Agustin,PH175109011,Brush/Shrubs,0,29.45230993,0,0,0,0,3,1,410.8830984
228,470,San Agustin,PH175109011,Brush/Shrubs,0,23.31697337,0,0,0,0,3,1,325.290284
229,471,San Agustin,PH175109011,Grassland,0,24.62623787,0,0,0,1,3,1,200.7947637
230,472,San Agustin,PH175109013,Open Forest,0,43.94114685,0,0,0,1,3,0,345.1002423
231,473,San Agustin,PH175109013,Open Forest,0,54.96343803,0,0,0,1,2,0,439.7816039
232,474,San Agustin,PH175109013,Open Forest,0,152.6717364,0,0,0,2,2,0,1159.831796
233,475,San Agustin,PH175109013,Open Forest,0,488.1930745,0,0,0,3,3,0,3564.584353
234,476,Santo Niño,PH175109001,Grassland,0,132.6371307,0,1,0,3,2,1,1067.628531
235,477,Buenavista,PH175109001,Open Forest,0,118.6647619,0,1,0,0,3,0,1655.467607
236,478,Poblacion (Lumangbayan),PH175109001,Open Forest,0,61.13228798,1,1,0,0,2,0,877.1535538
237,479,Pag-Asa,PH175109023,Open Forest,0,10.26161067,0,0,0,2,2,0,77.95642214
238,480,Pag-Asa,PH175109023,Open Forest,0,7.021961451,0,0,0,1,2,0,56.18515836
239,481,Pag-Asa,PH175109023,Brush/Shrubs,0,7.034228166,0,0,0,1,2,1,58.39357706
240,482,Pag-Asa,PH175109023,Brush/Shrubs,0,8.320616961,0,0,0,1,2,1,69.07233833
241,483,Batong Buhay,PH175109008,Brush/Shrubs,0,8.534291744,0,0,0,1,1,1,74.29781233
242,484,Batong Buhay,PH175109008,Brush/Shrubs,0,10.61140919,0,0,0,0,2,1,149.6044178
243,485,San Francisco,PH175109003,Brush/Shrubs,0,11.47320867,0,0,0,0,2,1,161.7544543
