PSCG,Barangay,Population,Land Area,Population Density
PH175109001,Batong Buhay,"5,177",285.272,18.14759247
PH175109002,Buenavista,"9,617",1.903,5053.59958
PH175109003,Burgos,"3,136",191.62,16.36572383
PH175109004,Claudio Salgado,"4,679",33.074,141.4706416
PH175109005,General Emilio Aguinaldo,"2,690",9.625,279.4805195
PH175109006,Ibud,"1,996",8.186,243.8309309
PH175109007,Ilvita,"2,900",21.882,132.5290193
PH175109022,Ligaya,"7,480",165.394,45.2253407
PH175109008,Poblacion (Lumangbayan),"8,721",10.028,869.6649382
PH175109023,Paetan,"1,904",15.415,123.5160558
PH175109010,Pag-Asa,"4,405",449.511,9.79953772
PH175109011,San Agustin,"2,490",431.365,5.772373744
PH175109009,San Francisco,"3,485",24.186,144.0916233
PH175109013,San Nicolas,"2,171",8.504,255.2916275
PH175109014,San Vicente,"5,672",22.871,247.9996502
PH175109016,Santa Lucia,"5,634",30.023,187.6561303
PH175109017,Santo Niño,"7,490",14.563,514.317105
PH175109018,Tagumpay,"1,999",7.436,268.8273265
PH175109019,Victoria,"1,474",13.331,110.5693496
PH175109020,Lagnas,"1,818",5.04,360.7142857
PH175109024,Malisbong,"4,262",326.63,13.04840339
PH175109021,Tuban,"3,398",27.576,123.2230925